CHEQUEID;LAGERID;KOLVO
22311;1;1.0
22311;2;1.0
22311;3;1.0
22311;4;1.0
22311;5;1.0
22311;6;1.0
22311;7;1.0
22311;8;1.0
22311;9;1.0
22311;10;1.0
22314;11;1.0
22314;12;2.0
22314;13;2.0
22314;14;1.0
22317;15;1.0
22317;7;1.0
22317;16;4.0
22317;17;1.0
22321;3;1.0
22321;18;1.0
22321;19;1.0
22324;20;1.0
22324;14;1.0
22324;21;1.0
22327;22;2.0
22327;23;2.0
22327;24;1.0
22330;2;1.0
22330;15;1.0
22330;11;1.0
22330;25;1.0
22330;26;1.0
22330;27;1.0
22330;28;1.0
22336;15;2.0
22336;5;5.0
22340;2;6.0
22345;15;1.0
22345;29;1.0
22345;30;1.0
22345;31;1.0
22345;32;1.0
22345;33;1.0
22345;34;1.0
22345;35;1.0
22348;36;1.0
22348;3;1.0
22348;30;1.0
22348;12;1.0
22348;37;1.0
22348;7;2.0
22348;38;1.0
22348;39;1.0
22348;27;2.0
22350;15;1.0
22350;22;1.0
22350;3;1.0
22350;40;2.0
22350;41;1.0
22350;42;1.0
22350;32;1.0
22350;7;1.0
22350;43;1.0
22351;2;1.0
22351;9;1.0
22352;15;1.0
22352;23;2.0
22352;44;7.0
22352;37;1.0
22352;35;1.0
22353;15;2.0
22353;42;1.0
22353;6;1.0
22353;45;4.0
22353;46;4.0
22353;47;1.0
22354;48;2.0
22354;44;6.0
22354;49;2.0
22355;7;3.0
22355;50;5.0
22357;51;1.0
22357;36;1.0
22357;30;1.0
22357;52;2.0
22358;29;1.0
22358;53;1.0
22358;4;1.0
22358;30;1.0
22358;31;1.0
22358;42;1.0
22358;27;1.0
22361;36;1.0
22361;29;1.0
22361;3;1.0
22361;30;1.0
22361;54;1.0
22361;55;1.0
22362;18;1.0
22362;21;2.0
22363;2;6.0
22364;24;1.0
22364;27;1.0
22370;3;1.0
22370;41;1.0
22370;56;1.0
22370;13;1.0
22370;57;1.0
22370;58;1.0
22371;29;2.0
22371;59;1.0
22371;60;3.0
22375;61;3.0
22379;15;2.0
22379;30;2.0
22379;62;3.0
22379;63;4.0
22382;18;1.0
22385;2;2.0
22389;2;6.0
22389;26;1.0
22389;64;1.0
22392;17;1.0
22392;46;1.0
22397;25;2.0
22397;65;1.0
22398;15;10.0
22398;25;10.0
22399;2;5.0
22399;29;1.0
22399;53;1.0
22399;30;1.0
22399;46;1.0
22399;50;1.0
22400;3;1.0
22400;7;1.0
22400;66;2.0
22400;27;1.0
22400;64;2.0
22403;2;6.0
22403;65;1.0
22403;55;1.0
22403;67;1.0
22404;15;1.0
22404;29;1.0
22404;53;1.0
22404;25;1.0
22404;33;1.0
22404;68;2.0
22404;69;1.0
22404;70;3.0
22404;67;2.0
22407;60;1.0
22407;69;2.0
22408;12;1.0
22408;38;1.0
22411;14;1.0
22414;29;1.0
22414;71;2.0
22418;54;1.0
22418;43;1.0
22419;15;2.0
22419;29;2.0
22419;19;1.0
